68,363574,361889,361844,362665,363716
69,368267,367526,368063,370587,368331
70,372734,374386,374966,373980,372115
71,378933,378739,376732,380288,378117
72,384272,382368,384043,383874,382970
73,389695,390042,387427,386943,388435
74,393070,393833,393461,394518,392227
75,398398,398995,396476,399818,397895
76,403186,403312,401691,401975,403048
77,408219,407872,406494,408296,408276
78,413720,413562,413143,412618,412210
79,418205,416847,414844,416696,417825
80,422459,423818,421381,422696,423052
81,429440,428891,430430,430539,429810
82,432379,433259,434012,434460,433711
83,439251,438549,439058,438551,438448
84,444050,444196,444905,442360,443800
85,447965,449042,448069,449719,449062
86,453868,452830,454965,453638,452731
87,458022,458925,460335,458146,457752
88,463508,463307,462761,461031,461664
89,468242,469050,469666,469821,469324
90,474144,472432,474690,471926,473487
91,478812,477192,478791,478757,478291
92,483940,483960,482808,483786,482865
93,489716,488343,489258,488350,488372
94,493784,493711,492198,492999,491935
95,497259,500239,497354,497265,499039
96,502903,502695,504148,503913,503337
97,512420,513529,510122,512153,512853
98,514993,516237,514010,513496,515486
99,517562,520186,520542,522043,520165
